,PRD_SEQ,STAR,USER_ID
17951,180,2,52
1139,12,4,40
4116,42,2,17
6095,61,3,96
16116,162,3,17
17873,179,1,74
617,7,2,18
1310,14,3,11
15104,152,4,5
17023,171,2,24
3251,33,4,52
3547,36,3,48
18641,187,4,42
11758,118,5,59
6627,67,2,28
15466,155,3,67
5000,51,1,1
7716,78,3,17
7719,78,4,20
7800,79,2,1
10104,102,1,5
18339,184,2,40
1121,12,1,22
2656,27,3,57
3478,35,3,79
8673,87,1,74
17126,172,1,27
16527,166,2,28
7033,71,4,34
11467,115,1,68
19987,200,2,88
3526,36,1,27
1835,19,3,36
8345,84,1,46
16464,165,3,65
9671,97,1,72
1042,11,3,43
9317,94,4,18
15702,158,2,3
982,10,1,83
9545,96,1,46
4404,45,3,5
18465,185,1,66
18854,189,1,55
11800,119,1,1
19163,192,2,64
377,4,1,78
357,4,1,58
12622,127,4,23
19742,198,2,43
13295,133,2,96
7912,80,2,13
13214,133,2,15
9871,99,3,72
17961,180,4,62
16621,167,1,22
2234,23,2,35
19187,192,4,88
14464,145,1,65
12222,123,3,23
19899,199,5,100
15731,158,2,32
8614,87,1,15
7784,78,3,85
17847,179,2,48
5485,55,2,86
7223,73,2,24
4548,46,1,49
18932,190,1,33
2718,28,4,19
5847,59,4,48
1256,13,2,57
2640,27,1,41
2652,27,1,53
7125,72,4,26
4413,45,2,14
8753,88,1,54
9163,92,4,64
1336,14,1,37
113,2,2,14
15495,155,1,96
16666,167,2,67
9159,92,2,60
13483,135,3,84
17757,178,4,58
13104,132,3,5
18326,184,2,27
12762,128,2,63
4345,44,2,46
7049,71,4,50
380,4,3,81
4843,49,4,44
15141,152,1,42
16367,164,2,68
19283,193,4,84
11103,112,1,4
135,2,4,36
10419,105,3,20
10958,110,3,59
12076,121,3,77
14754,148,2,55
11614,117,1,15
5678,57,3,79
11665,117,2,66
7289,73,4,90
2087,21,1,88
9811,99,4,12
6473,65,1,74
18966,190,1,67
3997,40,3,98
10087,101,1,88
14497,145,1,98
4356,44,2,57
19905,200,4,6
3288,33,2,89
9249,93,3,50
425,5,3,26
18009,181,2,10
18611,187,2,12
19298,193,3,99
10895,109,4,96
5508,56,4,9
16490,165,2,91
7425,75,3,26
7087,71,2,88
10149,102,4,50
6977,70,4,78
7535,76,1,36
3214,33,2,15
9025,91,1,26
1833,19,1,34
3658,37,2,59
14061,141,4,62
16375,164,1,76
18493,185,4,94
15180,152,3,81
9541,96,4,42
12724,128,4,25
7488,75,3,89
14517,146,1,18
8413,85,2,14
6510,66,4,11
653,7,2,54
8030,81,4,31
12038,121,3,39
3234,33,3,35
15568,156,3,69
2726,28,2,27
1113,12,1,14
12137,122,4,38
13563,136,1,64
373,4,4,74
2099,21,1,100
7134,72,3,35
2993,30,1,94
8170,82,4,71
1275,13,3,76
10254,103,3,55
4304,44,3,5
9750,98,1,51
8260,83,4,61
9432,95,3,33
2132,22,2,33
16601,167,4,2
16845,169,4,46
13928,140,3,29
17702,178,3,3
9066,91,3,67
9668,97,3,69
6114,62,1,15
10764,108,1,65
13525,136,3,26
5638,57,1,39
862,9,1,63
7294,73,4,95
12111,122,4,12
10039,101,3,40
7177,72,2,78
1720,18,2,21
11686,117,3,87
8318,84,3,19
15900,160,3,1
18538,186,1,39
6390,64,4,91
638,7,2,39
12636,127,3,37
4132,42,1,33
566,6,3,67
9530,96,2,31
16074,161,1,75
11450,115,1,51
1305,14,3,6
19104,192,3,5
4303,44,2,4
8373,84,3,74
13243,133,1,44
14557,146,1,58
14800,149,4,1
10819,109,3,20
10957,110,2,58
8304,84,2,5
13375,134,1,76
13337,134,4,38
1795,18,1,96
8031,81,3,32
10470,105,4,71
1964,20,1,65
2629,27,4,30
8087,81,3,88
14320,144,2,21
11099,111,4,100
17638,177,4,39
8233,83,2,34
18849,189,3,50
5610,57,1,11
6244,63,1,45
12526,126,2,27
6415,65,1,16
11009,111,4,10
6006,61,3,7
2543,26,1,44
3884,39,3,85
6013,61,4,14
2275,23,4,76
8463,85,4,64
10575,106,1,76
420,5,3,21
284,3,2,85
998,10,4,99
17967,180,1,68
3181,32,2,82
6369,64,1,70
16248,163,4,49
18007,181,3,8
3834,39,1,35
18286,183,2,87
3245,33,3,46
4281,43,2,82
11809,119,3,10
18317,184,4,18
8922,90,1,23
12498,125,1,99
8375,84,4,76
17750,178,2,51
9042,91,3,43
5418,55,1,19
17900,180,1,1
16228,163,2,29
12597,126,3,98
13555,136,1,56
682,7,1,83
6029,61,3,30
12470,125,1,71
150,2,4,51
19408,195,2,9
5564,56,2,65
3411,35,1,12
8294,83,1,95
14877,149,4,78
14836,149,4,37
8528,86,1,29
9147,92,3,48
16830,169,3,31
5458,55,4,59
6138,62,2,39
4436,45,2,37
14819,149,4,20
4315,44,4,16
15112,152,2,13
2661,27,3,62
17551,176,2,52
13024,131,2,25
13863,139,2,64
3788,38,2,89
16134,162,3,35
1276,13,4,77
16330,164,2,31
5905,60,1,6
5115,52,1,16
12692,127,2,93
116,2,4,17
16268,163,3,69
17629,177,4,30
18769,188,2,70
11724,118,3,25
1112,12,1,13
17398,174,4,99
19674,197,3,75
15809,159,2,10
19560,196,4,61
18584,186,3,85
3651,37,4,52
8336,84,3,37
1255,13,4,56
3684,37,2,85
14024,141,1,25
15431,155,3,32
18984,190,3,85
13691,137,4,92
2481,25,1,82
7858,79,2,59
7711,78,2,12
10156,102,1,57
17405,175,3,6
829,9,4,30
17544,176,3,45
1602,17,4,3
16862,169,3,63
3058,31,3,59
14737,148,3,38
10823,109,1,24
16049,161,3,50
15949,160,2,50
5259,53,1,60
10461,105,1,62
11906,120,1,7
9363,94,2,64
17870,179,1,71
13963,140,2,64
16956,170,1,57
1921,20,1,22
11075,111,4,76
10778,108,3,79
9520,96,4,21
11318,114,2,19
12231,123,1,32
7596,76,4,97
15345,154,4,46
3851,39,2,52
3938,40,4,39
13864,139,4,65
4496,45,1,97
14156,142,1,57
7889,79,4,90
14718,148,4,19
14336,144,3,37
6535,66,2,36
3607,37,2,8
13895,139,1,96
1320,14,1,21
12752,128,4,53
17280,173,3,81
13539,136,2,40
168,2,2,69
18389,184,4,90
12499,125,2,100
17645,177,4,46
13349,134,3,50
12780,128,3,81
14064,141,3,65
398,4,1,99
6027,61,2,28
5865,59,2,66
149,2,2,50
3069,31,1,70
16254,163,2,55
94,1,3,95
17435,175,2,36
13577,136,1,78
11958,120,2,59
13334,134,1,35
6067,61,2,68
12818,129,3,19
1496,15,2,97
6660,67,1,61
13251,133,3,52
6871,69,2,72
12215,123,4,16
7861,79,1,62
7144,72,4,45
17786,178,3,87
18602,187,2,3
3746,38,2,47
12243,123,1,44
16966,170,4,67
9194,92,2,95
19309,194,4,10
19479,195,4,80
1929,20,1,30
12830,129,4,31
10439,105,3,40
14998,150,1,99
1967,20,2,68
9781,98,4,82
13252,133,1,53
1634,17,3,35
8784,88,2,85
6613,67,2,14
10739,108,1,40
7708,78,1,9
19500,196,2,1
15879,159,5,80
11139,112,2,40
9352,94,4,53
1479,15,2,80
7913,80,3,14
7336,74,5,37
1498,15,1,99
18383,184,3,84
8900,90,2,1
15895,159,3,96
12616,127,4,17
5719,58,3,20
12288,123,2,89
1332,14,3,33
7270,73,3,71
13845,139,1,46
13165,132,5,66
2688,27,3,89
1714,18,2,15
17588,176,3,89
10613,107,3,14
15075,151,5,76
11195,112,2,96
15353,154,3,54
17388,174,4,89
3855,39,3,56
16426,165,4,27
4113,42,3,14
8225,83,2,26
14863,149,2,64
2715,28,2,16
11370,114,2,71
316,4,1,17
6978,70,3,79
15519,156,2,20
18485,185,4,86
19630,197,4,31
15609,157,3,10
7007,71,1,8
2818,29,3,19
5500,56,1,1
950,10,1,51
11333,114,4,34
4602,47,1,3
12303,124,1,4
30,1,2,31
6903,70,2,4
1639,17,4,40
6417,65,4,18
7976,80,3,77
14405,145,4,6
4456,45,1,57
11828,119,4,29
15481,155,4,82
16891,169,1,92
6113,62,4,14
6357,64,4,58
1965,20,4,66
17386,174,5,87
1584,16,3,85
2025,21,3,26
18782,188,3,83
9617,97,3,18
13846,139,2,47
19694,197,3,95
15882,159,1,83
14576,146,1,77
18045,181,4,46
2928,30,2,29
18457,185,3,58
11322,114,3,23
8483,85,3,84
18398,184,2,99
14063,141,1,64
18496,185,2,97
19751,198,4,52
1593,16,1,94
9659,97,4,60
6532,66,5,33
700,8,3,1
13644,137,2,45
15425,155,1,26
9128,92,4,29
14808,149,4,9
6198,62,4,99
3995,40,2,96
7471,75,1,72
1314,14,1,15
8739,88,2,40
764,8,2,65
17733,178,3,34
4342,44,3,43
5952,60,4,53
7319,74,1,20
12548,126,3,49
9835,99,4,36
13988,140,1,89
38,1,1,39
3613,37,2,14
1455,15,2,56
15110,152,2,11
13343,134,2,44
8139,82,3,40
2894,29,2,95
13253,133,3,54
7781,78,2,82
5625,57,3,26
18269,183,3,70
16918,170,2,19
1053,11,1,54
13695,137,4,96
10333,104,3,34
14867,149,4,68
13961,140,4,62
12550,126,1,51
6145,62,3,46
5948,60,4,49
2807,29,3,8
14157,142,1,58
7556,76,3,57
13898,139,1,99
304,4,3,5
18890,189,4,91
5224,53,2,25
15119,152,2,20
7728,78,4,29
17202,173,2,3
6695,67,1,96
15403,155,4,4
252,3,3,53
511,6,4,12
17732,178,4,33
13000,131,3,1
15308,154,2,9
6969,70,1,70
18531,186,3,32
9358,94,4,59
12357,124,1,58
18124,182,4,25
750,8,1,51
15545,156,2,46
9854,99,4,55
742,8,4,43
19368,194,3,69
176,2,2,77
11206,113,3,7
8285,83,3,86
17559,176,1,60
12865,129,4,66
9577,96,4,78
8769,88,2,70
6886,69,4,87
8191,82,2,92
17415,175,3,16
14322,144,4,23
381,4,4,82
14752,148,3,53
9931,100,1,32
15886,159,1,87
7201,73,1,2
9745,98,4,46
14805,149,2,6
8645,87,1,46
9870,99,2,71
7515,76,2,16
6015,61,3,16
15807,159,2,8
9778,98,1,79
13266,133,5,67
8743,88,5,44
984,10,2,85
439,5,4,40
8398,84,4,99
3781,38,1,82
15654,157,4,55
12731,128,4,32
19530,196,4,31
5472,55,1,73
12196,122,4,97
18909,190,1,10
13799,138,2,100
13188,132,1,89
12509,126,2,10
1226,13,4,27
7985,80,3,86
14183,142,3,84
11633,117,4,34
17957,180,1,58
903,10,1,4
13980,140,3,81
15270,153,3,71
8280,83,3,81
7107,72,2,8
13342,134,1,43
11008,111,2,9
366,4,3,67
10134,102,3,35
3079,31,1,80
16767,168,4,68
3016,31,2,17
6936,70,1,37
17993,180,4,94
10746,108,2,47
1653,17,1,54
15923,160,3,24
3422,35,1,23
13313,134,3,14
15868,159,4,69
8925,90,4,26
13186,132,2,87
1206,13,5,7
12715,128,1,16
8928,90,4,29
14477,145,1,78
1486,15,3,87
12326,124,4,27
11959,120,5,60
85,1,3,86
5665,57,4,66
167,2,1,68
5377,54,2,78
15940,160,4,41
15631,157,3,32
4894,49,3,95
7203,73,2,4
18887,189,3,88
1418,15,1,19
7748,78,3,49
2254,23,1,55
4063,41,2,64
8860,89,2,61
19646,197,1,47
9014,91,3,15
8394,84,4,95
10282,103,1,83
4244,43,2,45
13530,136,3,31
2438,25,1,39
5140,52,4,41
2069,21,3,70
15224,153,3,25
13105,132,1,6
17253,173,3,54
6667,67,4,68
1078,11,3,79
12832,129,2,33
2175,22,4,76
4125,42,4,26
624,7,3,25
10536,106,3,37
16343,164,3,44
4105,42,4,6
3550,36,3,51
7536,76,3,37
13661,137,4,62
147,2,4,48
6798,68,4,99
5786,58,2,87
17885,179,3,86
1354,14,4,55
8756,88,4,57
11010,111,2,11
18676,187,4,77
19063,191,1,64
13195,132,4,96
16541,166,2,42
16319,164,1,20
14969,150,2,70
6306,64,4,7
7584,76,3,85
16289,163,3,90
10455,105,1,56
8223,83,2,24
19967,200,2,68
16147,162,2,48
2447,25,1,48
1887,19,1,88
8818,89,1,19
14774,148,3,75
11872,119,3,73
905,10,3,6
15000,151,3,1
17877,179,3,78
4896,49,4,97
19424,195,3,25
9859,99,3,60
12085,121,4,86
14150,142,3,51
9594,96,2,95
3102,32,3,3
12083,121,3,84
517,6,1,18
15181,152,4,82
6202,63,2,3
9883,99,1,84
10302,104,2,3
12567,126,3,68
9195,92,1,96
10903,110,3,4
10612,107,1,13
4750,48,3,51
17711,178,3,12
18150,182,2,51
10159,102,1,60
15098,151,3,99
8206,83,4,7
14660,147,3,61
19266,193,3,67
9809,99,4,10
6925,70,2,26
12299,123,1,100
3107,32,1,8
2006,21,1,7
14354,144,2,55
11866,119,4,67
2733,28,1,34
12167,122,3,68
17697,177,1,98
1693,17,4,94
16431,165,2,32
11505,116,2,6
4385,44,2,86
16852,169,3,53
10978,110,4,79
9384,94,3,85
3289,33,3,90
17374,174,4,75
2499,25,1,100
15966,160,4,67
15575,156,4,76
19238,193,2,39
16125,162,2,26
7983,80,1,84
13201,133,1,2
15012,151,2,13
15794,158,2,95
10062,101,4,63
17192,172,4,93
2574,26,1,75
15613,157,3,14
14335,144,1,36
4220,43,1,21
12694,127,2,95
17096,171,2,97
14585,146,2,86
16993,170,3,94
13102,132,2,3
9239,93,3,40
13143,132,3,44
14750,148,2,51
4089,41,2,90
9515,96,4,16
17834,179,3,35
8341,84,5,42
12469,125,1,70
7316,74,3,17
3601,37,4,2
7997,80,1,98
18299,183,2,100
16386,164,3,87
8268,83,3,69
12285,123,4,86
2923,30,2,24
14297,143,3,98
1064,11,1,65
16435,165,1,36
13315,134,2,16
8522,86,3,23
1771,18,2,72
332,4,4,33
3989,40,3,90
9115,92,1,16
13925,140,2,26
3865,39,3,66
8687,87,3,88
5589,56,2,90
19657,197,4,58
5631,57,4,32
19820,199,1,21
14777,148,1,78
7834,79,1,35
15276,153,5,77
2299,23,4,100
4467,45,3,68
8255,83,2,56
11843,119,2,44
4246,43,3,47
14485,145,3,86
8354,84,2,55
13203,133,3,4
10755,108,4,56
1683,17,1,84
15689,157,3,90
19760,198,2,61
17788,178,5,89
15610,157,4,11
12200,123,3,1
578,6,4,79
9656,97,4,57
334,4,2,35
14710,148,4,11
17519,176,1,20
9748,98,5,49
4585,46,4,86
16703,168,3,4
14657,147,3,58
10656,107,3,57
9109,92,4,10
676,7,2,77
14381,144,2,82
12419,125,1,20
9862,99,2,63
782,8,1,83
13256,133,3,57
6298,63,3,99
6062,61,1,63
1796,18,3,97
13556,136,2,57
5219,53,2,20
9680,97,2,81
11736,118,3,37
15697,157,2,98
13681,137,2,82
15550,156,4,51
17792,178,2,93
3166,32,3,67
4061,41,4,62
9418,95,3,19
10004,101,3,5
7030,71,2,31
10184,102,1,85
2836,29,2,37
19705,198,1,6
7306,74,3,7
1955,20,4,56
13696,137,1,97
16520,166,4,21
14372,144,4,73
13729,138,4,30
13173,132,3,74
19098,191,1,99
9812,99,2,13
533,6,2,34
13647,137,1,48
469,5,1,70
18936,190,3,37
9489,95,1,90
5916,60,4,17
3761,38,3,62
5478,55,4,79
5805,59,4,6
10084,101,1,85
13494,135,3,95
5514,56,4,15
1266,13,1,67
5864,59,3,65
15865,159,4,66
12892,129,4,93
5742,58,1,43
13653,137,1,54
3780,38,3,81
12574,126,2,75
15733,158,1,34
8985,90,3,86
14535,146,3,36
14107,142,4,8
10206,103,2,7
19972,200,1,73
11811,119,3,12
1566,16,2,67
11276,113,2,77
7752,78,2,53
5857,59,3,58
4514,46,2,15
7655,77,1,56
12025,121,1,26
5908,60,3,9
19144,192,2,45
1544,16,1,45
11416,115,3,17
8845,89,1,46
2604,27,2,5
9150,92,2,51
15640,157,4,41
14656,147,2,57
5764,58,4,65
1281,13,2,82
16004,161,1,5
7775,78,3,76
8889,89,1,90
2471,25,1,72
19304,194,3,5
13814,139,2,15
18813,189,3,14
13227,133,1,28
17290,173,1,91
17042,171,4,43
6181,62,2,82
19725,198,4,26
11775,118,1,76
6329,64,1,30
4126,42,1,27
14851,149,2,52
17190,172,1,91
3599,36,1,100
5512,56,3,13
14164,142,1,65
9691,97,3,92
4294,43,2,95
14221,143,1,22
5943,60,3,44
11121,112,1,22
4093,41,3,94
18902,190,3,3
16416,165,2,17
9622,97,2,23
19237,193,1,38
3402,35,1,3
19247,193,1,48
7794,78,4,95
18834,189,4,35
13021,131,1,22
7914,80,3,15
10228,103,4,29
8393,84,2,94
6399,64,2,100
16856,169,4,57
17610,177,3,11
13126,132,1,27
5754,58,3,55
15860,159,3,61
3986,40,1,87
7639,77,1,40
17734,178,4,35
11893,119,3,94
3824,39,3,25
18901,190,1,2
7870,79,1,71
18268,183,3,69
19107,192,2,8
18983,190,1,84
157,2,4,58
11842,119,2,43
188,2,1,89
3577,36,4,78
2493,25,1,94
11376,114,4,77
14981,150,1,82
6108,62,1,9
10864,109,2,65
8008,81,2,9
17707,178,4,8
19825,199,2,26
9149,92,3,50
15241,153,2,42
13671,137,2,72
18704,188,1,5
18724,188,1,25
3013,31,2,14
10387,104,4,88
11106,112,2,7
8443,85,2,44
19322,194,2,23
7885,79,1,86
12976,130,4,77
16728,168,3,29
6105,62,1,6
15612,157,3,13
15626,157,4,27
3639,37,1,40
428,5,4,29
13710,138,2,11
19463,195,4,64
15471,155,3,72
14393,144,4,94
14944,150,1,45
9989,100,1,90
11988,120,1,89
9674,97,1,75
2359,24,4,60
673,7,4,74
13769,138,3,70
9942,100,2,43
13819,139,2,20
9913,100,4,14
6512,66,2,13
2820,29,2,21
19965,200,2,66
14047,141,3,48
2791,28,3,92
16352,164,2,53
9919,100,4,20
19949,200,1,50
15548,156,3,49
1326,14,2,27
13842,139,3,43
10527,106,3,28
8585,86,2,86
915,10,2,16
17981,180,2,82
8778,88,2,79
1650,17,4,51
11622,117,1,23
13100,132,2,1
7603,77,3,4
5222,53,4,23
15644,157,3,45
435,5,2,36
6689,67,1,90
17498,175,3,99
14095,141,3,96
13498,135,4,99
18173,182,4,74
2562,26,2,63
18749,188,1,50
19035,191,3,36
3198,32,1,99
15016,151,3,17
17076,171,4,77
18980,190,4,81
15889,159,3,90
19988,200,2,89
5662,57,2,63
7627,77,1,28
531,6,3,32
19822,199,4,23
17819,179,2,20
6599,66,2,100
11131,112,1,32
6315,64,1,16
12514,126,3,15
16835,169,4,36
13962,140,1,63
15005,151,1,6
15536,156,3,37
11006,111,3,7
5028,51,3,29
280,3,4,81
11817,119,1,18
5928,60,4,29
7836,79,2,37
18323,184,2,24
18078,181,1,79
1643,17,3,44
1889,19,2,90
12681,127,1,82
12134,122,1,35
12589,126,3,90
3594,36,4,95
2996,30,3,97
4501,46,1,2
10993,110,3,94
18583,186,4,84
3193,32,4,94
5992,60,3,93
18956,190,2,57
12736,128,1,37
18282,183,4,83
10126,102,1,27
16938,170,1,39
575,6,2,76
8231,83,4,32
1352,14,3,53
3902,40,3,3
16963,170,2,64
12160,122,5,61
4154,42,3,55
7646,77,3,47
11681,117,1,82
505,6,1,6
2857,29,4,58
7852,79,4,53
1432,15,3,33
4554,46,4,55
12962,130,4,63
9814,99,2,15
9595,96,4,96
16345,164,1,46
8423,85,3,24
3371,34,2,72
4367,44,4,68
7109,72,3,10
14549,146,3,50
19388,194,4,89
610,7,1,11
13538,136,2,39
8407,85,4,8
19664,197,2,65
18688,187,1,89
10011,101,1,12
9251,93,2,52
14259,143,2,60
18647,187,2,48
17512,176,1,13
10590,106,3,91
3448,35,4,49
14017,141,2,18
4800,49,4,1
9936,100,2,37
13812,139,1,13
10294,103,2,95
6165,62,1,66
17377,174,2,78
19602,197,2,3
12590,126,3,91
17068,171,4,69
3944,40,1,45
8468,85,2,69
4308,44,1,9
2919,30,4,20
3501,36,3,2
13872,139,1,73
4660,47,3,61
13420,135,4,21
17110,172,1,11
17490,175,4,91
10801,109,2,2
8530,86,4,31
448,5,2,49
10317,104,4,18
8623,87,4,24
11255,113,3,56
14928,150,1,29
11096,111,2,97
16664,167,4,65
14078,141,3,79
13275,133,3,76
8214,83,2,15
5547,56,2,48
1127,12,2,28
17113,172,4,14
4407,45,2,8
1799,18,1,100
6434,65,3,35
18955,190,3,56
7524,76,2,25
19389,194,1,90
10660,107,4,61
5015,51,1,16
6024,61,4,25
12586,126,3,87
3441,35,2,42
9085,91,1,86
13952,140,3,53
13522,136,3,23
4384,44,1,85
4288,43,4,89
13920,140,3,21
11025,111,4,26
14968,150,3,69
11741,118,2,42
12113,122,2,14
3260,33,3,61
14974,150,5,75
14764,148,2,65
6480,65,3,81
7575,76,1,76
8688,87,1,89
15661,157,2,62
5070,51,3,71
10247,103,2,48
2947,30,4,48
2840,29,2,41
8122,82,3,23
11497,115,2,98
8410,85,3,11
177,2,3,78
7816,79,1,17
12376,124,4,77
14193,142,2,94
11666,117,2,67
8941,90,3,42
4081,41,1,82
1511,16,1,12
7414,75,2,15
9345,94,3,46
3942,40,1,43
17631,177,4,32
14346,144,4,47
8485,85,4,86
19273,193,3,74
18344,184,3,45
7555,76,1,56
473,5,2,74
10089,101,4,90
18848,189,1,49
1846,19,4,47
13172,132,1,73
14842,149,2,43
7656,77,4,57
19191,192,4,92
16560,166,1,61
6307,64,1,8
19444,195,2,45
1327,14,1,28
6790,68,3,91
3418,35,1,19
11257,113,3,58
7038,71,3,39
6323,64,4,24
1681,17,3,82
1452,15,3,53
775,8,4,76
2109,22,2,10
11415,115,2,16
15296,153,2,97
10017,101,1,18
1365,14,1,66
9910,100,3,11
10158,102,1,59
8144,82,4,45
8057,81,4,58
8114,82,4,15
12687,127,1,88
299,3,3,100
1107,12,2,8
850,9,1,51
5449,55,2,50
8930,90,4,31
7472,75,2,73
7466,75,4,67
2246,23,2,47
16187,162,3,88
17866,179,1,67
3031,31,2,32
1608,17,5,9
9912,100,1,13
5736,58,4,37
8,1,4,9
13180,132,4,81
5971,60,2,72
19083,191,2,84
4040,41,4,41
17901,180,2,2
12553,126,2,54
11519,116,4,20
13189,132,3,90
15628,157,1,29
16258,163,4,59
5101,52,3,2
16277,163,3,78
15046,151,2,47
3097,31,2,98
9705,98,2,6
18060,181,4,61
4787,48,1,88
13626,137,4,27
16786,168,1,87
14911,150,1,12
16338,164,3,39
8973,90,1,74
8935,90,1,36
3657,37,2,58
3706,38,2,7
1190,12,4,91
11391,114,1,92
18218,183,1,19
15312,154,1,13
14142,142,4,43
13069,131,1,70
9405,95,1,6
5846,59,4,47
15824,159,1,25
13396,134,3,97
9198,92,4,99
19542,196,4,43
7726,78,4,27
5735,58,1,36
18433,185,4,34
6444,65,3,45
10604,107,3,5
10859,109,1,60
13506,136,4,7
5940,60,3,41
12296,123,2,97
7506,76,4,7
19547,196,1,48
6607,67,3,8
11192,112,3,93
11582,116,1,83
16149,162,3,50
2478,25,2,79
8936,90,2,37
13148,132,1,49
18593,186,1,94
12700,128,4,1
6580,66,3,81
1808,19,3,9
7585,76,1,86
15571,156,1,72
16101,162,2,2
263,3,2,64
15818,159,3,19
19270,193,2,71
8727,88,1,28
15452,155,1,53
14294,143,3,95
1571,16,1,72
12378,124,2,79
13471,135,3,72
6484,65,1,85
12570,126,3,71
10980,110,3,81
19840,199,2,41
14311,144,3,12
1370,14,4,71
3090,31,2,91
5038,51,3,39
14506,146,1,7
12833,129,2,34
15724,158,2,25
15344,154,1,45
18491,185,1,92
16590,166,1,91
14958,150,4,59
18373,184,1,74
18137,182,4,38
16546,166,1,47
17891,179,4,92
5549,56,3,50
9143,92,4,44
14202,143,2,3
13083,131,4,84
14103,142,3,4
10010,101,2,11
11451,115,3,52
14669,147,3,70
15186,152,1,87
12970,130,2,71
19676,197,2,77
1976,20,4,77
11149,112,1,50
1442,15,4,43
8674,87,4,75
7510,76,1,11
2309,24,4,10
12245,123,2,46
1766,18,2,67
19576,196,2,77
9395,94,3,96
11647,117,3,48
1488,15,2,89
4907,50,3,8
9646,97,2,47
7882,79,1,83
11896,119,3,97
7346,74,2,47
19788,198,4,89
7387,74,1,88
15173,152,1,74
9213,93,4,14
14403,145,4,4
4638,47,3,39
10052,101,2,53
19609,197,3,10
14827,149,4,28
14110,142,2,11
1655,17,2,56
9038,91,2,39
2861,29,1,62
5431,55,2,32
7563,76,1,64
2183,22,3,84
14775,148,1,76
7907,80,1,8
18756,188,2,57
6547,66,3,48
19702,198,1,3
16507,166,3,8
13557,136,3,58
4812,49,1,13
2126,22,3,27
15395,154,4,96
15427,155,3,28
1011,11,1,12
8369,84,2,70
2088,21,3,89
14106,142,3,7
981,10,1,82
7159,72,1,60
6451,65,3,52
12639,127,3,40
4834,49,2,35
9672,97,4,73
5267,53,2,68
6110,62,3,11
8342,84,1,43
1246,13,2,47
18483,185,4,84
2074,21,1,75
10460,105,1,61
7047,71,1,48
19790,198,2,91
8827,89,2,28
3290,33,3,91
914,10,4,15
14344,144,3,45
14946,150,3,47
16392,164,1,93
6389,64,4,90
18829,189,2,30
11743,118,4,44
6494,65,1,95
14518,146,1,19
8408,85,3,9
15192,152,3,93
7945,80,2,46
19861,199,1,62
15388,154,1,89
17031,171,2,32
10615,107,4,16
3387,34,4,88
16809,169,1,10
